source_key,source_type,doi,patent_publication_number,patent_family_id,source_url,publication_year,journal_or_assignee,evidence_row_count,protocol_unit_count,variant_count,representative_pages,local_paths
10.1007/s11745-017-4265-y,literature,10.1007/s11745-017-4265-y,,,,2017,Lipids,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/新型热嗜热有机溶剂稳定脂肪酶的鉴定与特征.pdf
10.1007/s12010-009-8841-3,literature,10.1007/s12010-009-8841-3,,,,2010,Applied Biochemistry and Biotechnology,2,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自铜绿假单胞菌（Pseudomonas aeruginosa CS-2）有机溶剂耐受脂肪酶的纯化与表征.pdf
10.1007/s12010-012-9584-0,literature,10.1007/s12010-012-9584-0,,,,2012,Applied Biochemistry and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Characterization of Smallest Active Monomeric Lipase from Novel Rhizopus Strain Application in Transesterification.pdf
10.1007/s12010-013-0406-9,literature,10.1007/s12010-013-0406-9,,,,2013,Applied Biochemistry and Biotechnology,3,1,1,,"Article/耐甲醇相关脂肪酶文献/新录入/A Cold-Adapted and Organic Solvent-Tolerant Lipase from a Psychrotrophic Bacterium Pseudomonas sp. Strain YY31 Identification, Cloning, and Characterization.pdf"
10.1007/s12010-013-0610-7,literature,10.1007/s12010-013-0610-7,,,,2014,Applied Biochemistry and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/由链霉菌属CS273的有机耐溶剂碱性脂肪酶对废弃食用油进行转酯化.pdf
10.1007/s12010-013-0690-4,literature,10.1007/s12010-013-0690-4,,,,2014,Applied Biochemistry and Biotechnology,12,12,4,,Article/耐甲醇相关脂肪酶文献/人工下载/通过定点诱变确定，Gly33在一种新型有机耐溶剂耐受脂肪酶中的Serratia marcescens ECU1010中的关键作用.pdf
10.1007/s12010-025-05392-0,literature,10.1007/s12010-025-05392-0,,,,2025,Applied Biochemistry and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/Immobilized Ancient Lipase for Waste‑to‑Fuel Biocatalysis.pdf
10.1007/s12223-014-0320-8,literature,10.1007/s12223-014-0320-8,,,,2014,Folia Microbiologica,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自Haloarcula属的有机溶剂耐受脂肪酶的表征G41及其在生物柴油生产中的应用.pdf
10.1007/s12257-011-0347-5,literature,10.1007/s12257-011-0347-5,,,,2012,Biotechnology and Bioprocess Engineering,6,1,1,,Article/耐甲醇相关脂肪酶文献/新增/链霉菌属CS268的有机耐溶剂碱性脂肪酶及其在生物柴油生产中的应用 (2).pdf
10.1007/s13197-020-04784-w,literature,10.1007/s13197-020-04784-w,,,,2020,Journal of Food Science and Technology,3,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Streptomyces_pratensis_MV1_PMC7498116.pdf
10.1007/s13205-018-1414-9,literature,10.1007/s13205-018-1414-9,,,,2018,3 Biotech,1,1,1,,"Article/耐甲醇相关脂肪酶文献/人工下载/Screening, purification and characterization of lipase.pdf"
10.1007/s13205-018-1506-6,literature,10.1007/s13205-018-1506-6,,,,2018,3 Biotech,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Production-and-purification-of-an-alkaline-lipase-from-Bacillus-sp.-for-enantioselective-resolution-of--Ketoprofen-butyl-ester.pdf
10.1007/s13205-021-03095-x,literature,10.1007/s13205-021-03095-x,,,,2022,3 Biotech,24,3,3,LMT_PAGE_CALB,Article/耐甲醇相关脂肪酶文献/Enhancing the methanol tolerance of Candida antarctica lipase B .pdf
10.1007/s43393-023-00179-y,literature,10.1007/s43393-023-00179-y,,,,2023,Systems Microbiology and Biomanufacturing,22,18,11,LMT_PAGE_PML,Article/耐甲醇相关脂肪酶文献/Methanol tolerance upgrading of Proteus mirabilis lipase by machine learning-assisted directed evolution.pdf
10.1016/j.bcab.2014.11.007,literature,10.1016/j.bcab.2014.11.007,,,,2015,Biocatalysis and Agricultural Biotechnology 4 (2015) 103-108,13,13,1,,Article/耐甲醇相关脂肪酶文献/链霉菌属有机溶剂耐受脂肪酶的纯化与表征。用于生物柴油生产的OC119-7.pdf
10.1016/j.bcab.2020.101806,literature,10.1016/j.bcab.2020.101806,,,,2021,Biocatalysis and Agricultural Biotechnology,10,2,1,,Article/耐甲醇相关脂肪酶文献/人工下载/从布伦纳假单胞菌中分离并表征一种新型热溶剂稳定脂肪酶及其在生物柴油合成中的应用.pdf
10.1016/j.bej.2012.03.004,literature,10.1016/j.bej.2012.03.004,,,,2012,Biochemical Engineering Journal,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/从铜银假单胞菌 LC2-8 中提取有机溶剂稳定脂肪酶的纯化与表征，及其在高效分解（R， S）-1-苯乙醇中的应用.pdf
10.1016/j.bej.2022.108659,literature,10.1016/j.bej.2022.108659,,,,2022,Biochemical Engineering Journal,24,12,12,LMT_PAGE_TLL,Article/耐甲醇相关脂肪酶文献/蛋白质工程以提升Thermomyces lanuginosus lipase在甲醇中的稳定性.pdf
10.1016/j.biortech.2013.08.101,literature,10.1016/j.biortech.2013.08.101,,,,2013,Bioresource Technology,6,2,1,,Article/耐甲醇相关脂肪酶文献/人工下载/筛选、纯化及表征一种来自Stenotrophomonas maltophilia CGMCC 4254的新型冷活性有机溶剂耐受脂肪酶.pdf
10.1016/j.biortech.2017.05.108,literature,10.1016/j.biortech.2017.05.108,,,,2017,Bioresource Technology,4,4,4,LMT_PAGE_TLL,Article/耐甲醇相关脂肪酶文献/导向进化Thermomyces lanuginosus脂肪酶，以增强甲醇耐受性，从而高效从废油脂生产生物柴油.pdf
10.1016/j.biortech.2022.126769,literature,10.1016/j.biortech.2022.126769,,,,2022,Bioresource Technology 348 (2022) 126769,78,12,6,LMT_PAGE_RML,Article/耐甲醇相关脂肪酶文献/通过半合理设计提升Rhizomucor miehei脂肪酶的甲醇耐受性和催化活性，用于生物柴油的单步合成.pdf
10.1016/j.biteb.2022.101228,literature,10.1016/j.biteb.2022.101228,,,,2022,Bioresource Technology Reports,2,2,2,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/从曲霉属桉树（Aspergillus eucalypticola）中提取脂肪酶的诱变、纯化和表征，122712并展现出车辆油渍的高效去除效果.pdf
10.1016/j.bjm.2015.04.002,literature,10.1016/j.bjm.2015.04.002,,,,2016,Brazilian Journal of Microbiology,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Acinetobacter-AU07-2016-thermostable-organic-solvent-tolerant-lipase.pdf
10.1016/j.cscee.2024.100721,literature,10.1016/j.cscee.2024.100721,,,,2024,Case Studies in Chemical and Environmental Engineering,4,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Characterization of a thermostable-organic solvent-tolerant lipase from thermotolerant Rhizopus sp. strain PKC12B2 isolated from palm kernel cake.pdf
10.1016/j.enzmictec.2016.10.007,literature,10.1016/j.enzmictec.2016.10.007,,,,2017,Enzyme and Microbial Technology,18,4,1,,Article/耐甲醇相关脂肪酶文献/新增/利用β环糊精作为添加剂增强Yarrowia lipolytica lipase 2的甲醇耐性：实验与分子动力学模拟的见解.pdf
10.1016/j.enzmictec.2017.03.010,literature,10.1016/j.enzmictec.2017.03.010,,,,2017,Enzyme and Microbial Technology,32,4,4,LMT_PAGE_RML,Article/耐甲醇相关脂肪酶文献/新录入/建立并应用改良膜墨迹分析法，用于提升其甲醇耐受性和热稳定性.pdf
10.1016/j.enzmictec.2022.110072,literature,10.1016/j.enzmictec.2022.110072,,,,2022,Enzyme and Microbial Technology,210,37,15,LMT_PAGE_RML,Article/耐甲醇相关脂肪酶文献/新录入/N-糖基化作为增强Rhizomucor miehei脂肪酶生物柴油生产特性的有效策略.pdf
10.1016/j.fuel.2021.121514,literature,10.1016/j.fuel.2021.121514,,,,2021,Fuel,42,7,7,LMT_PAGE_RML,Article/耐甲醇相关脂肪酶文献/人工下载/通过突变N连接糖基化位点增强Rhizomucor miehei脂肪酶的活性和稳定性及其在生物柴油生产中的应用.pdf
10.1016/j.ijbiomac.2016.06.095,literature,10.1016/j.ijbiomac.2016.06.095,,,,2016,International Journal of Biological Macromolecules,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自南极铜扁单胞菌的低温适应有机溶剂耐受生物亲和力家族I.3脂肪酶.pdf
10.1016/j.ijbiomac.2017.11.173,literature,10.1016/j.ijbiomac.2017.11.173,,,,2018,International Journal of Biological Macromolecules,4,1,1,,Article/耐甲醇相关脂肪酶文献/新增/对来自地衣菌KM12的新型冷活性、亲盐且耐有机溶剂的脂肪酶进行生化表征，并有望应用于生物柴油生产.pdf
10.1016/j.ijbiomac.2018.05.087,literature,10.1016/j.ijbiomac.2018.05.087,,,,2018,International Journal of Biological Macromolecules,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自Haloferax mediterranei CNCMM 50101的有机溶剂耐受性和洗涤剂稳定脂肪酶的纯化与表征.pdf
10.1016/j.ijbiomac.2018.07.169,literature,10.1016/j.ijbiomac.2018.07.169,,,,2018,International Journal of Biological Macromolecules,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自Cacillus cohnii菌株N1的冷活性酯酶（EstN7）的克隆、表达及特性分析：IV家族的新成员.pdf
10.1016/j.ijbiomac.2020.02.145,literature,10.1016/j.ijbiomac.2020.02.145,,,,2020,International Journal of Biological Macromolecules,11,2,1,LMT_PAGE_CALB,Article/耐甲醇相关脂肪酶文献/新录入/Diverse effects of aqueous polar co-solvents on Candida antarctica lipase B.pdf
10.1016/j.ijbiomac.2025.148467,literature,10.1016/j.ijbiomac.2025.148467,,,,2025,International Journal of Biological Macromolecules,72,6,6,,Article/耐甲醇相关脂肪酶文献/Engineering of Geobacillus kaustophilus lipase for enhanced catalytic efficiency and methanol tolerance in biodiesel production from sunflower oil.pdf
10.1016/j.jbiosc.2017.06.012,literature,10.1016/j.jbiosc.2017.06.012,,,,2017,Journal of Bioscience and Bioengineering,13,12,1,,Article/耐甲醇相关脂肪酶文献/人工下载/溶剂耐受脂肪酶的高水平表达与表征.pdf
10.1016/j.jbiotec.2012.11.006,literature,10.1016/j.jbiotec.2012.11.006,,,,2013,Journal of Biotechnology,28,21,6,LMT_PAGE_CALB,Article/耐甲醇相关脂肪酶文献/Prediction of the solvent affecting site and the computational design of stable Candida antarctica lipase B in a hydrophilic organic solvent.pdf
10.1016/j.jclepro.2024.141949,literature,10.1016/j.jclepro.2024.141949,,,,2024,Journal of Cleaner Production 450 (2024) 141949,50,10,5,LMT_PAGE_TLL,Article/耐甲醇相关脂肪酶文献/通过合理设计和通过甲醇单步进化生产生物柴油，增强热菌兰格诺斯脂肪酶的甲醇耐受性.pdf
10.1016/j.jgeb.2017.06.007,literature,10.1016/j.jgeb.2017.06.007,,,,2017,Journal of Genetic Engineering and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Purification-and-characterization-of-lipase-by-Bacillus-methylotrophicus-PS3-under-submerged-fermentation.pdf
10.1016/j.jmgm.2021.107897,literature,10.1016/j.jmgm.2021.107897,,,,2021,Journal of Molecular Graphics and Modelling,248,16,16,,Article/耐甲醇相关脂肪酶文献/新增/增强Geobacillus zalihae T1脂肪酶在有机溶剂中的稳定性及其变体结构稳定性的见解.pdf
10.1016/j.molcatb.2010.06.001,literature,10.1016/j.molcatb.2010.06.001,,,,2010,Journal of Molecular Catalysis B: Enzymatic,1,1,1,,Article/耐甲醇相关脂肪酶文献/新增/来自铜绿假单胞菌LX1的有机耐溶剂脂肪酶的纯化与表征及其在生物柴油生产中的应用.pdf
10.1016/j.molcatb.2013.09.001,literature,10.1016/j.molcatb.2013.09.001,,,,2013,Journal of Molecular Catalysis B: Enzymatic,8,2,2,,Article/耐甲醇相关脂肪酶文献/新增/对一种具有增强酶活性的工程有机溶剂耐受性、热稳定性脂肪酶的表征与分子建模.pdf
10.1016/j.molcatb.2014.03.002,literature,10.1016/j.molcatb.2014.03.002,,,,2014,Journal of Molecular Catalysis B: Enzymatic,3,2,1,,Article/耐甲醇相关脂肪酶文献/新增/甲醇对水相南极念珠菌脂肪酶B的浓度依赖性效应.pdf
10.1016/j.molcatb.2017.03.002,literature,10.1016/j.molcatb.2017.03.002,,,,2016,Journal of Molecular Catalysis B: Enzymatic,10,2,1,,Article/耐甲醇相关脂肪酶文献/深入了解极地有机溶剂中热热亲病菌HB8脂肪酶激活现象的机制.pdf
10.1016/j.pep.2006.04.015,literature,10.1016/j.pep.2006.04.015,,,,2006,Protein Expression and Purification,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/一种来自球芽孢杆菌205y的新型有机溶剂耐受脂肪酶：一种新型OST脂肪酶基因的细胞外表达.pdf
10.1016/j.pep.2018.08.007,literature,10.1016/j.pep.2018.08.007,,,,2019,Protein Expression and Purification,6,2,1,,"Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/Isolation, purification and characterization of a novel solvent stable lipase.pdf"
10.1016/j.procbio.2006.09.019,literature,10.1016/j.procbio.2006.09.019,,,,2007,Process Biochemistry,3,1,1,,Article/耐甲醇相关脂肪酶文献/新增/Yarrowia lipolytica 细胞外脂肪酶 Lip2 的纯化与表征.pdf
10.1016/j.procbio.2008.01.023,literature,10.1016/j.procbio.2008.01.023,,,,2008,Process Biochemistry,3,3,1,,Article/耐甲醇相关脂肪酶文献/人工下载/从Serratia marcescens分离出的有机耐溶剂脂肪酶的生化性质及潜在应用ECU1010.pdf
10.1016/j.procbio.2012.01.003,literature,10.1016/j.procbio.2012.01.003,,,,2012,Process Biochemistry,6,1,1,,Article/耐甲醇相关脂肪酶文献/新增/链霉菌属CS133的有机溶剂耐受脂肪酶，用于有机培养基中植物油的酶转酯化.pdf
10.1016/j.ultsonch.2020.105211,literature,10.1016/j.ultsonch.2020.105211,,,,2020,Ultrasonics - Sonochemistry,54,6,3,,Article/耐甲醇相关脂肪酶文献/人工下载/利用工程化耐甲醇的普氏变形蛋白脂酶，固定在功能化多磺酮珠上，超声辅助生产生物柴油.pdf
10.1021/acs.jafc.4c10663,literature,10.1021/acs.jafc.4c10663,,,,2025,Journal of Agricultural and Food Chemistry,60,5,5,LMT_PAGE_TLL,Article/耐甲醇相关脂肪酶文献/semirational-design-of-methanol-resistant-lipase-mutants-a-pathway-to-efficient-biodiesel-production.pdf
10.1021/acsomega.3c03644,literature,10.1021/acsomega.3c03644,,,,2023,ACS Omega,2,2,2,,Article/耐甲醇相关脂肪酶文献/新录入/CharacterizationofDetergent-CompatibleLipasesfromCandida.pdf
10.1021/jf060835e,literature,10.1021/jf060835e,,,,2006,Journal of Agricultural and Food Chemistry,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/在皮奇亚中高效生产活性重组念珠菌（鲁戈萨）LIP3脂肪酶及纯化酶的生化特性.pdf
10.1021/jf200537w,literature,10.1021/jf200537w,,,,2011,Journal of Agricultural and Food Chemistry,2,2,2,,Article/耐甲醇相关脂肪酶文献/人工下载/通过去除额外的N端肽和区域密码子优化，工程化重组念珠菌鲁戈萨LIP2脂肪酶的表达和生化特性.pdf
10.1038/s41598-017-16036-7,literature,10.1038/s41598-017-16036-7,,,,2017,Scientific Reports,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Pseudomonas-fluorescens-Pf0-1-2017-biodiesel-lipase.pdf
10.1038/s41598-018-27579-8,literature,10.1038/s41598-018-27579-8,,,,2018,Scientific Reports,4,4,2,,Article/耐甲醇相关脂肪酶文献/新录入/Tailoring-recombinant-lipases-keeping-the-His-tag-favors-esterification-reactions-removing-it-favors-hydrolysi.pdf
10.1038/s41598-020-79199-w,literature,10.1038/s41598-020-79199-w,,,,2020,Scientific Reports,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Pseudomonas-fluorescence-KE38-2020-cold-adapted-lipase.pdf
10.1038/sj.jim.2900528,literature,10.1038/sj.jim.2900528,,,,1998,Journal of Industrial Microbiology & Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/铜绿假单胞菌（Pseudomonas aeruginosa KKA-5）脂肪酶的纯化与表征及其在蓖麻油水解中的作用.pdf
10.1039/c3ob41076e,literature,10.1039/c3ob41076e,,,,2013,Organic & Biomolecular Chemistry,36,6,6,LMT_PAGE_CALB,Article/耐甲醇相关脂肪酶文献/新录入/Chemical modification for improving activity and.pdf
10.1039/c9ra04365a,literature,10.1039/c9ra04365a,,,,2019,RSC Advances,3,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/通过碳酸钙模板法合成多孔CLEAs脂肪酶及其在生物柴油生产中的应用.pdf
10.1080/10242422.2018.1506445,literature,10.1080/10242422.2018.1506445,,,,2018,Biocatalysis and Biotransformation,3,1,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/Purification and characterization of a mesophilic organic solvent tolerant lipase produced by Acinetobacter sp. K5b4.pdf
10.1080/10826068.2021.1920034,literature,10.1080/10826068.2021.1920034,,,,2022,Preparative Biochemistry & Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/Optimization of an organic solvent-tolerant lipase production by Staphylococcus capitis SH6. Immobilization for biodiesel production and biodegradatio.pdf
10.1080/10826068.2023.2279111,literature,10.1080/10826068.2023.2279111,,,,2023,Preparative Biochemistry & Biotechnology,2,2,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自耐热且溶剂耐受的芽孢杆菌属菌株链球菌标记纯化重组脂肪酶的特性及溶剂稳定性特征 42.pdf
10.1080/14756366.2020.1861607,literature,10.1080/14756366.2020.1861607,,,,2021,Journal of Enzyme Inhibition and Medicinal Chemistry,6,3,1,,Article/耐甲醇相关脂肪酶文献/人工下载/新发现的脂质葡萄球菌（Staphylococcus caprae caprae NCU S6）新型脂肪酶的生产、纯化及生化表征.pdf
10.1093/femsec/fiw046,literature,10.1093/femsec/fiw046,,,,2016,FEMS Microbiology Ecology,2,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/来自永久冻土宏基因组库中具有GCSAG基序的新酯酶表达与表征.pdf
10.1099/mic.0.058792-0,literature,10.1099/mic.0.058792-0,,,,2012,Microbiology,6,6,6,,Article/耐甲醇相关脂肪酶文献/人工下载/鉴定与脂蛋白酶LipBL水解活性相关的氨基酸的鉴定.pdf
10.1111/1750-3841.70302,literature,10.1111/1750-3841.70302,,,,2025,Journal of Food Science,1,1,1,LMT_PAGE_TLL,Article/耐甲醇相关脂肪酶文献/新录入/Journal of Food Science - 2025 - Zhou - Fabrication of Nanomaterial‐Immobilized Lipase Enables Robust Enzymatic.pdf
10.1111/gcbb.70009,literature,10.1111/gcbb.70009,,,,2024,GCB Bioenergy,1,1,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/GCB Bioenergy - 2024 - Karaman - A New Enzyme for Biodiesel Production and Food Applications Lipase of Bacillus megaterium.pdf
10.11144/javeriana.sc22-1.rsmr,literature,10.11144/javeriana.sc22-1.rsmr,,,,2017,Universitas Scientiarum,8,2,1,,Article/耐甲醇相关脂肪酶文献/新录入/Response-Surface-Methodology-RSM-for-analysing-culture-conditions-of-Acidocella-facilis-strain-USBA-GBX-505-and-Partial-Purification-and-Biochemi.pdf
10.1128/AEM.02072-14,literature,10.1128/AEM.02072-14,,,,2014,Applied and Environmental Microbiology,4,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/新发现的酸珠菌（sulhoobacillus acidophilus）中热稳定的酯酶：邻苯二甲酸酯降解中的性质与性能.pdf
10.1128/AEM.02143-18,literature,10.1128/AEM.02143-18,,,,2018,Applied and Environmental Microbiology,21,7,7,,Article/耐甲醇相关脂肪酶文献/gihaz-et-al-2018-filling-the-void-introducing-aromatic-interactions-into-solvent-tunnels-to-enhance-lipase-stability-in.pdf
10.1128/AEM.03371-13,literature,10.1128/AEM.03371-13,,,,2014,Applied and Environmental Microbiology,30,15,5,,Article/耐甲醇相关脂肪酶文献/Protein Engineering by Random Mutagenesis and Structure-Guided.pdf; Article/耐甲醇相关脂肪酶文献/通过随机诱变与结构引导共识对Geobacillus stearothermophilus Lipase T6进行蛋白质工程，以增强甲醇稳定性.pdf
10.1128/spectrum.01422-21,literature,10.1128/spectrum.01422-21,,,,2022,Microbiology Spectrum,3,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/鞘菌属Ab3脂肪酶及其与LEA肽的共表达特性.pdf
10.1155/2013/435818,literature,10.1155/2013/435818,,,,2013,BioMed Research International,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Acid-Lipase-from-Candida-viswanathii-Production-Biochemical-Properties-and-Potential-Application.pdf
10.1155/2014/108913,literature,10.1155/2014/108913,,,,2014,BioMed Research International,3,3,1,,Article/耐甲醇相关脂肪酶文献/新录入/Lipolytic-Potential-of-Aspergillus-japonicus-LAB01-Production-Partial-Purification-and-Characterisation-of-an-Extracellular-Lipase.pdf
10.1155/2014/289749,literature,10.1155/2014/289749,,,,2014,ISRN Biochemistry,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/New-Lipase-for-Biodiesel-Production-Partial-Purification-and-Characterization-of-LipSB-25-4.pdf
10.1155/2016/1353497,literature,10.1155/2016/1353497,,,,2016,Enzyme Research,1,1,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/Enzyme Research - 2016 - de Almeida - Agroindustrial Wastes as Alternative for Lipase Production by Candida viswanathii.pdf
10.1186/1475-2859-10-54,literature,10.1186/1475-2859-10-54,,,,2011,Microbial Cell Factories,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Identification-and-characterization-of-a-new-true-lipase-isolated-through-metagenomic-approach.pdf
10.1186/1475-2859-11-72,literature,10.1186/1475-2859-11-72,,,,2012,Microbial Cell Factories,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Isolation-identification-and-biochemical-characterization-of-a-novel-halo-tolerant-lipase-from-the-metagenome.pdf
10.1186/1754-6834-6-70,literature,10.1186/1754-6834-6-70,,,,2013,Biotechnology for Biofuels,201,21,6,LMT_PAGE_BCL; LMT_PAGE_PML,Article/耐甲醇相关脂肪酶文献/柴油酶：通过定向进化开发稳定且耐甲醇的生物柴油脂肪酶.pdf
